intern_id,task_completion_time_hrs,feedback_rating,attendance_percent,performance_score,performance_category
INT_00122,7.3,7.7,87.4,65.7,Average
INT_00123,14.2,6.4,90.3,39.5,Struggle
INT_00124,5.8,,85.5,73.8,Average
INT_00125,11.8,9.8,95.2,85.6,Excel
INT_00126,16.6,6.3,83.1,39.5,Struggle
INT_00127,7.0,,,75.5,Excel
INT_00128,8.3,9.7,94.3,77.2,
INT_00129,10.3,6.3,97.4,56.6,Average
INT_00130,8.5,5.3,,50.2,Average
INT_00131,5.3,8.0,100.0,77.1,Excel
INT_00132,10.2,6.7,90.5,53.4,Average
INT_00133,6.8,10.0,79.7,94.9,Excel
INT_00134,11.4,7.6,91.0,64.8,Average
INT_00135,,6.3,84.9,61.8,Average
INT_00136,14.6,5.8,,31.9,Struggle
INT_00137,7.7,9.1,87.7,71.9,Average
INT_00138,9.0,6.6,88.6,56.5,Average
INT_00139,12.4,7.6,80.7,45.5,Average
INT_00140,6.3,8.9,95.9,90.8,
INT_00141,10.7,6.8,78.8,56.0,Average
INT_00142,13.9,7.4,79.1,43.2,Struggle
INT_00143,5.2,7.5,90.9,81.2,Excel
INT_00144,,8.5,,72.4,Average
INT_00145,10.8,8.4,85.2,77.1,
INT_00146,12.3,7.2,93.6,56.5,Average
INT_00147,6.3,7.6,96.6,76.1,Excel
INT_00148,6.0,6.9,94.5,75.6,Excel
INT_00149,11.6,5.3,85.5,46.8,Average
INT_00150,10.9,7.9,79.3,58.6,Average
INT_00151,10.8,10.0,70.3,65.0,Average
INT_00152,11.0,6.2,85.9,50.0,Average
INT_00153,8.0,,97.4,56.6,Average
INT_00154,10.7,6.2,,45.0,Average
INT_00155,10.9,8.6,93.6,62.4,Average
INT_00156,7.9,8.2,80.4,54.8,Average
INT_00157,15.6,7.3,88.8,47.2,Average
INT_00158,11.4,6.1,93.7,57.4,Average
INT_00159,6.4,7.6,82.7,70.4,Average
INT_00160,12.0,5.2,,39.6,Struggle
INT_00161,7.1,7.7,84.7,75.2,Excel
INT_00162,12.4,8.8,93.6,63.9,Average
INT_00163,13.5,5.6,89.9,29.8,Struggle
INT_00164,7.5,5.2,88.5,37.0,Struggle
INT_00165,12.9,9.9,,70.3,Average
INT_00166,11.2,6.6,93.3,58.3,Average
INT_00167,12.5,9.2,,59.8,Average
INT_00168,,7.3,87.3,48.4,
INT_00169,9.3,7.3,87.4,68.4,Average
INT_00170,7.7,8.2,88.6,,Average
INT_00171,7.3,,100.0,65.4,Average
INT_00172,7.6,7.7,91.0,70.9,Average
INT_00173,9.8,6.9,71.7,42.4,Struggle
INT_00174,11.0,5.5,,48.9,Average
INT_00175,10.8,8.0,72.5,51.3,Average
INT_00176,12.5,7.1,85.4,48.2,Average
INT_00177,10.0,,72.1,60.9,Average
INT_00178,14.4,5.7,81.0,,Struggle
INT_00179,9.2,9.9,75.8,76.4,Excel
INT_00180,18.2,8.8,91.1,61.1,Average
INT_00181,11.9,8.9,88.0,62.3,Average
INT_00182,7.4,7.0,90.4,70.2,Average
INT_00183,6.8,4.9,87.2,45.1,
INT_00184,11.4,10.0,76.8,,Average
INT_00185,9.3,7.4,92.1,61.3,Average
INT_00186,12.1,6.4,100.0,50.7,Average
INT_00187,11.4,8.1,91.3,67.5,Average
INT_00188,9.8,,84.6,72.0,
INT_00189,7.5,7.5,76.6,,Average
INT_00190,5.5,9.4,80.7,82.3,Excel
INT_00191,8.7,9.1,91.6,74.3,Average
INT_00192,12.6,5.9,96.6,46.1,Average
INT_00193,10.6,6.5,90.1,52.8,Average
INT_00194,6.3,8.9,94.4,,Excel
INT_00195,10.5,3.4,93.7,35.7,Struggle
INT_00196,,7.3,,56.0,Average
INT_00197,7.3,5.4,82.7,52.1,Average
INT_00198,10.5,,89.4,,Average
INT_00199,10.2,7.1,81.2,48.8,Average
INT_00200,6.6,7.0,88.1,55.1,Average
INT_00201,11.1,6.7,90.6,58.7,Average
INT_00202,11.7,5.9,100.0,51.5,Average
INT_00203,13.2,10.0,77.5,65.7,Average
INT_00204,13.2,10.0,,78.5,Excel
INT_00205,5.9,5.8,99.8,60.2,Average
INT_00206,7.2,9.9,94.1,77.9,Excel
INT_00207,11.5,6.9,94.7,56.4,Average
INT_00208,11.5,7.7,92.7,62.2,Average
INT_00209,11.5,7.4,98.4,60.2,Average
INT_00210,21.6,6.5,79.3,,Struggle
INT_00211,11.7,9.0,76.9,46.4,Average
INT_00212,13.4,7.7,87.9,60.2,Average
INT_00213,12.9,6.8,70.7,43.6,Struggle
INT_00214,12.0,5.5,97.8,50.1,
INT_00215,9.1,6.2,97.8,39.3,Struggle
INT_00216,12.3,5.0,84.5,43.1,Struggle
INT_00217,7.7,7.5,85.0,57.3,Average
INT_00218,9.3,5.7,87.4,45.6,Average
INT_00219,8.5,7.1,88.4,59.3,Average
INT_00220,10.2,9.6,89.0,76.4,Excel
INT_00221,16.9,9.3,92.5,63.8,Average
INT_00222,4.4,7.5,86.6,75.3,Excel
INT_00223,12.1,7.4,95.5,63.3,Average
INT_00224,,10.0,91.6,90.6,Excel
INT_00225,8.6,8.3,83.1,67.7,Average
INT_00226,13.3,7.0,98.7,49.4,Average
INT_00227,10.2,5.4,77.1,34.2,Struggle
INT_00228,6.8,8.1,87.3,75.2,Excel
INT_00229,7.9,8.7,95.7,81.9,Excel
INT_00230,,6.6,82.2,49.7,Average
INT_00231,7.8,7.9,90.5,65.9,Average
INT_00232,10.6,7.0,92.3,,Average
INT_00233,10.1,7.2,81.1,47.2,Average
INT_00234,8.0,3.8,87.4,43.5,Struggle
INT_00235,16.4,7.2,86.7,,Struggle
INT_00236,11.9,9.0,83.6,72.8,Average
INT_00237,3.9,6.6,100.0,64.0,Average
INT_00238,10.6,7.6,81.9,65.5,Average
INT_00239,8.0,6.4,96.0,58.5,Average
INT_00240,12.6,8.0,84.9,54.3,Average
INT_00241,7.6,7.2,79.3,58.7,Average
INT_00242,9.7,6.1,88.8,47.2,Average
INT_00243,11.5,9.5,93.2,73.0,Average
INT_00244,12.6,8.9,95.4,64.0,Average
INT_00245,6.4,6.6,100.0,63.7,Average
INT_00246,9.0,8.2,100.0,76.4,Excel
INT_00247,8.6,8.3,90.0,64.4,Average
INT_00248,8.0,8.5,82.7,63.3,Average
INT_00249,15.3,5.0,91.6,25.4,Struggle
INT_00250,11.2,9.0,85.9,63.7,Average
INT_00251,6.2,6.6,95.4,73.1,Average
INT_00252,12.8,7.0,77.6,39.8,Struggle
INT_00253,16.4,10.0,100.0,66.5,Average
INT_00254,13.1,8.0,,,Average
INT_00255,5.4,6.9,74.5,55.7,Average
INT_00256,8.5,4.2,82.3,49.0,Average
INT_00257,13.8,9.6,94.5,69.0,Average
INT_00258,7.9,5.5,97.4,57.2,Average
INT_00259,11.3,6.0,77.8,46.1,Average
INT_00260,12.3,7.0,93.7,59.8,Average
INT_00261,7.2,9.6,,73.0,Average
INT_00262,9.8,8.7,87.3,66.9,Average
INT_00263,2.0,7.3,96.9,91.0,Excel
INT_00264,6.9,8.0,83.6,66.4,Average
INT_00265,9.2,6.6,75.9,45.9,Average
INT_00266,6.3,7.7,89.2,,Average
INT_00267,14.9,7.6,,38.0,Struggle
INT_00268,5.7,9.0,93.0,86.2,Excel
INT_00269,8.7,9.0,,55.6,
INT_00270,10.4,8.2,81.8,60.6,Average
INT_00271,14.3,7.0,71.8,36.8,Struggle
INT_00272,5.7,8.6,89.4,89.7,Excel
INT_00273,13.5,7.4,86.7,40.6,Struggle
INT_00274,10.0,5.9,78.5,38.1,Struggle
INT_00275,7.1,6.9,89.6,61.8,Average
INT_00276,11.4,7.6,96.2,61.2,Average
INT_00277,10.6,8.9,86.3,64.0,Average
INT_00278,8.2,7.2,90.1,62.3,Average
INT_00279,10.2,5.7,90.2,40.9,Struggle
INT_00280,8.8,7.6,78.4,59.4,Average
INT_00281,10.3,7.7,100.0,,Average
INT_00282,12.0,7.8,84.2,55.3,Average
INT_00283,,8.9,93.2,59.0,
INT_00284,6.3,,94.2,,Excel
INT_00285,16.4,6.6,86.9,49.3,Average
INT_00286,4.1,6.6,92.9,66.4,Average
INT_00287,9.5,5.9,,58.7,Average
INT_00288,11.8,8.5,76.7,55.3,Average
INT_00289,10.8,9.7,85.3,66.3,Average
INT_00290,8.1,7.0,83.1,67.3,Average
INT_00291,9.4,,84.3,59.4,Average
INT_00292,8.5,9.7,77.6,72.4,Average
INT_00293,8.2,8.3,97.0,77.6,Excel
INT_00294,12.5,8.2,100.0,67.2,Average
INT_00295,11.1,5.7,95.8,49.0,Average
INT_00296,7.9,8.5,98.2,69.4,Average
INT_00297,12.7,6.1,85.2,41.4,Struggle
INT_00298,10.9,5.8,82.9,46.6,Average
INT_00299,12.4,7.0,81.8,46.9,Average
INT_00300,11.9,6.6,93.2,,Average
INT_00301,7.5,7.2,89.8,65.8,Average
INT_00302,8.3,5.3,87.4,43.0,Struggle
INT_00303,12.2,8.9,98.4,63.5,Average
INT_00304,11.8,9.2,91.2,68.6,Average
INT_00305,9.9,4.6,81.3,32.9,Struggle
INT_00306,10.4,9.0,82.6,68.1,Average
INT_00307,13.8,6.3,93.5,42.3,Struggle
INT_00308,8.2,8.8,96.3,73.6,Average
INT_00309,11.6,7.4,92.4,63.9,Average
INT_00310,9.4,7.5,100.0,68.8,
INT_00311,9.3,7.2,100.0,61.9,Average
INT_00312,13.3,9.3,91.5,67.6,Average
INT_00313,12.5,5.6,81.3,45.6,Average
INT_00314,12.4,8.4,77.5,56.8,Average
INT_00315,13.9,9.2,84.9,64.6,Average
INT_00316,10.1,8.6,94.0,66.3,Average
INT_00317,12.0,10.0,100.0,85.3,Excel
INT_00318,9.1,6.7,91.3,70.9,Average
INT_00319,11.0,8.9,97.3,68.5,Average
INT_00320,9.6,7.3,86.0,51.8,Average
INT_00321,10.3,9.4,93.0,75.8,Excel
INT_00322,11.8,7.5,94.6,64.5,
INT_00323,7.5,6.9,72.2,51.5,Average
INT_00324,16.3,9.5,84.7,52.6,Average
INT_00325,7.0,6.8,95.6,64.5,Average
INT_00326,6.4,5.4,90.2,57.2,Average
INT_00327,13.5,6.7,78.4,39.5,Struggle
INT_00328,12.4,8.4,68.6,53.8,Average
INT_00329,11.9,9.6,85.1,75.2,Excel
INT_00330,11.9,7.7,87.4,58.0,Average
INT_00331,10.0,9.5,80.9,,Average
INT_00332,7.3,5.5,89.1,56.4,Average
INT_00333,10.2,6.8,,52.1,Average
INT_00334,8.0,7.1,93.4,58.6,Average
INT_00335,12.9,7.3,69.2,40.5,Struggle
INT_00336,,,77.5,53.0,Average
INT_00337,7.5,8.5,85.6,66.3,Average
INT_00338,9.0,6.8,92.6,69.9,Average
INT_00339,11.2,7.7,91.9,72.9,Average
INT_00340,8.3,7.4,91.8,62.9,Average
INT_00341,7.5,6.1,84.9,54.0,Average
INT_00342,10.7,7.3,85.4,54.5,Average
INT_00343,,7.3,82.2,59.6,Average
INT_00344,8.5,7.3,94.1,,Average
INT_00345,8.6,7.5,80.6,49.0,Average
INT_00346,10.7,7.6,94.8,65.5,Average
INT_00347,5.7,6.9,89.7,58.0,Average
INT_00348,5.8,9.4,87.6,91.4,Excel
INT_00349,7.8,5.7,82.7,51.6,Average
INT_00350,9.4,6.4,77.2,42.9,Struggle
INT_00351,10.9,10.0,82.8,71.0,Average
INT_00352,14.4,5.9,85.4,36.6,Struggle
INT_00353,12.6,5.5,69.0,32.6,Struggle
INT_00354,9.5,8.6,86.4,73.3,Average
INT_00355,9.9,4.4,95.4,35.9,Struggle
INT_00356,7.0,7.1,92.5,76.3,Excel
INT_00357,9.9,10.0,84.0,84.0,Excel
INT_00358,9.1,5.2,88.4,40.8,Struggle
INT_00359,11.0,4.5,83.6,35.0,Struggle
INT_00360,7.5,5.3,,59.5,Average
INT_00361,11.6,8.8,,79.4,Excel
INT_00362,14.6,9.2,95.7,64.3,Average
INT_00363,9.7,6.7,92.2,61.9,Average
INT_00364,11.2,8.5,84.1,78.9,Excel
INT_00365,12.1,,94.0,73.9,Average
INT_00366,8.8,10.0,74.5,,Average
INT_00367,10.7,7.1,86.0,55.6,Average
INT_00368,10.0,4.0,92.7,39.6,
INT_00369,10.3,6.3,93.9,50.9,Average
INT_00370,7.7,6.9,93.4,65.6,Average
INT_00371,,7.1,,51.2,
INT_00372,11.5,7.2,,50.1,Average
INT_00373,14.4,9.2,92.3,69.0,Average
INT_00374,12.9,9.4,80.4,53.0,Average
INT_00375,16.5,7.2,81.2,45.7,Average
INT_00376,7.7,,88.5,65.1,Average
INT_00377,12.6,8.0,89.4,49.1,Average
INT_00378,10.6,7.6,73.4,48.4,Average
INT_00379,16.6,8.9,91.6,59.1,Average
INT_00380,7.6,,94.2,,Excel
INT_00381,7.5,10.0,87.4,82.4,Excel
INT_00382,8.2,5.3,100.0,53.8,Average
INT_00383,3.6,6.7,82.5,67.9,Average
INT_00384,8.4,7.3,85.1,55.3,Average
INT_00385,7.7,8.2,84.8,68.1,Average
INT_00386,10.5,9.4,87.4,65.0,Average
INT_00387,11.0,7.5,85.4,56.3,Average
INT_00388,15.6,5.4,76.7,26.2,Struggle
INT_00389,12.9,8.8,83.6,55.7,Average
INT_00390,8.3,8.6,87.2,71.7,Average
INT_00391,7.3,4.6,,51.5,Average
INT_00392,11.5,7.5,100.0,69.8,Average
INT_00393,6.0,5.1,98.7,48.4,Average
INT_00394,15.5,6.5,81.8,37.5,Struggle
INT_00395,13.5,6.1,82.4,35.6,Struggle
INT_00396,8.6,8.7,86.7,75.3,Excel
INT_00397,4.9,7.7,100.0,82.6,
INT_00398,14.1,5.6,86.7,39.9,Struggle
INT_00399,9.7,8.8,77.4,59.8,Average
INT_00400,13.7,5.3,,39.7,Struggle
INT_00401,5.2,8.0,94.1,68.0,Average
INT_00402,8.2,6.3,93.5,48.4,Average
INT_00403,,7.0,86.4,47.9,Average
INT_00404,10.1,8.3,93.5,67.6,Average
INT_00405,8.6,8.3,69.8,61.6,Average
INT_00406,11.9,9.5,88.8,53.7,Average
INT_00407,6.8,7.4,94.9,76.8,Excel
INT_00408,9.6,8.0,81.3,60.9,Average
INT_00409,10.4,6.8,81.3,42.0,Struggle
INT_00410,11.5,7.8,73.1,50.7,Average
INT_00411,12.1,8.2,100.0,72.6,Average
INT_00412,6.6,7.4,82.2,65.9,Average
INT_00413,5.4,4.8,89.9,57.7,Average
INT_00414,13.8,8.0,92.8,50.3,Average
INT_00415,11.0,8.0,100.0,65.8,Average
INT_00416,7.8,6.5,86.8,51.5,Average
INT_00417,14.7,5.6,,43.8,Struggle
INT_00418,10.3,9.7,89.4,78.8,Excel
INT_00419,,8.2,98.3,,Excel
INT_00420,10.2,7.2,86.6,53.6,Average
INT_00421,16.2,5.8,80.4,26.7,Struggle
INT_00422,15.3,6.3,75.7,32.5,Struggle
INT_00423,9.3,9.5,78.2,77.1,Excel
INT_00424,12.9,7.7,94.9,56.9,Average
INT_00425,11.9,6.7,85.4,49.2,
INT_00426,,8.3,83.1,54.3,Average
INT_00427,7.1,6.3,,54.3,Average
INT_00428,12.1,9.8,88.7,67.9,Average
INT_00429,,9.5,86.1,65.4,Average
INT_00430,4.7,6.8,85.8,63.7,Average
INT_00431,6.5,6.6,98.8,66.6,Average
INT_00432,3.9,3.6,100.0,57.1,Average
INT_00433,9.2,5.3,75.1,48.6,Average
INT_00434,12.2,5.5,90.6,38.0,Struggle
INT_00435,14.5,7.7,81.8,46.1,Average
INT_00436,10.2,7.0,86.0,50.2,Average
INT_00437,14.9,5.5,90.5,37.9,Struggle
INT_00438,,7.1,86.3,61.5,Average
INT_00439,4.9,8.3,89.8,78.1,Excel
INT_00440,9.8,8.3,93.4,74.7,Average
INT_00441,11.2,,90.4,24.8,Struggle
INT_00442,,7.3,82.8,58.5,Average
INT_00443,3.8,5.4,83.0,52.9,Average
INT_00444,9.7,8.9,76.5,65.9,
INT_00445,6.1,8.7,81.2,67.3,Average
INT_00446,12.0,6.2,100.0,59.5,Average
INT_00447,11.1,6.4,81.7,51.0,Average
INT_00448,7.2,6.8,78.5,58.7,Average
INT_00449,8.5,4.1,90.6,45.3,Average
INT_00450,6.8,8.0,87.1,65.2,Average
INT_00451,9.8,7.1,86.4,53.0,Average
INT_00452,12.9,9.0,99.3,74.4,Average
INT_00453,7.0,,92.4,52.6,Average
INT_00454,11.5,6.6,83.8,55.8,
INT_00455,8.4,5.2,84.6,43.6,Struggle
INT_00456,7.6,6.0,84.0,54.8,Average
INT_00457,9.7,5.7,95.0,63.7,Average
INT_00458,6.9,9.0,85.5,71.3,Average
INT_00459,8.3,6.5,73.7,48.3,Average
INT_00460,6.4,7.7,87.6,74.2,Average
INT_00461,15.9,6.9,75.7,41.9,Struggle
INT_00462,10.1,5.6,100.0,51.1,Average
INT_00463,7.9,,80.3,55.2,
INT_00464,10.6,8.4,86.7,62.6,Average
INT_00465,9.7,5.7,90.1,57.1,Average
INT_00466,9.3,8.7,85.7,66.7,Average
INT_00467,11.8,6.2,85.7,46.2,Average
INT_00468,12.3,6.8,91.4,49.5,Average
INT_00469,8.4,8.3,100.0,79.2,Excel
INT_00470,8.3,6.5,94.1,60.7,Average
INT_00471,9.2,7.6,99.8,62.9,
INT_00472,3.1,,79.6,60.8,Average
INT_00473,5.5,7.7,90.5,60.9,
INT_00474,14.1,3.9,89.2,22.4,Struggle
INT_00475,14.9,4.8,90.8,36.3,Struggle
INT_00476,9.3,8.4,99.0,81.2,Excel
INT_00477,11.7,,86.2,69.8,Average
INT_00478,10.9,6.1,84.8,49.6,Average
INT_00479,19.2,7.1,92.3,39.6,Struggle
INT_00480,13.4,7.9,73.8,52.2,Average
INT_00481,9.6,8.5,86.1,68.3,
INT_00482,7.1,4.5,86.9,54.0,Average
INT_00483,5.2,6.2,80.6,,Average
INT_00484,10.6,7.0,96.5,67.2,Average
INT_00485,7.7,8.6,79.5,72.0,Average
INT_00486,5.7,10.0,86.9,89.5,Excel
INT_00487,8.1,7.2,90.3,51.5,Average
INT_00488,6.8,5.4,98.8,63.0,Average
INT_00489,15.1,8.1,87.9,52.6,Average
INT_00490,12.6,9.5,,69.7,Average
INT_00491,10.0,7.7,93.6,55.8,Average
INT_00492,14.4,6.1,89.0,41.5,Struggle
INT_00493,10.2,8.9,79.3,64.6,Average
INT_00494,7.4,8.5,76.5,58.4,Average
INT_00495,14.6,6.0,88.9,31.8,Struggle
INT_00496,11.6,8.1,83.7,60.6,Average
INT_00497,6.9,9.0,95.4,85.6,Excel
INT_00498,9.4,,94.0,77.7,Excel
INT_00499,7.4,7.4,86.5,70.1,Average
INT_00500,5.9,7.0,78.7,59.0,Average
INT_00501,12.8,9.3,92.1,68.7,Average
INT_00502,15.7,5.7,79.9,25.5,Struggle
INT_00503,5.8,8.2,81.9,61.0,Average
INT_00504,11.7,5.4,80.2,47.9,Average
INT_00505,8.0,9.1,86.9,80.6,Excel
INT_00506,8.5,7.1,97.4,57.6,Average
INT_00507,8.2,9.4,88.0,77.5,Excel
INT_00508,7.4,8.2,84.5,67.8,Average
INT_00509,10.1,5.7,75.8,,
INT_00510,7.5,,92.4,80.0,Excel
INT_00511,10.8,9.8,81.8,72.9,Average
INT_00512,9.8,8.8,88.9,74.3,Average
INT_00513,9.3,6.4,85.2,54.0,Average
INT_00514,7.3,7.0,94.7,65.3,Average
INT_00515,8.3,7.7,86.7,63.3,Average
INT_00516,12.3,6.4,87.5,52.6,Average
INT_00517,11.5,10.0,91.9,78.8,Excel
INT_00518,7.1,,100.0,74.5,Average
INT_00519,10.3,3.4,95.1,34.7,Struggle
INT_00520,12.3,8.0,87.3,,Average
INT_00521,5.0,7.0,88.0,,Average
INT_00522,,7.4,83.8,57.8,Average
INT_00523,8.0,6.9,80.4,49.8,Average
INT_00524,11.7,8.7,83.6,59.8,Average
INT_00525,7.7,9.2,81.8,76.2,Excel
INT_00526,4.6,7.9,93.2,70.6,Average
INT_00527,5.1,7.0,79.4,52.9,Average
INT_00528,10.1,7.4,98.7,65.3,Average
INT_00529,10.8,7.5,94.0,52.2,Average
INT_00530,7.3,6.3,88.2,49.9,Average
INT_00531,11.9,8.4,88.0,66.0,Average
INT_00532,5.0,8.2,83.5,71.3,Average
INT_00533,9.8,9.8,90.2,84.6,Excel
INT_00534,6.4,9.4,96.7,78.6,Excel
INT_00535,8.0,6.5,82.4,53.0,Average
INT_00536,10.1,8.7,75.7,63.4,Average
INT_00537,7.4,6.1,93.6,51.8,Average
INT_00538,8.8,8.5,90.6,76.6,Excel
INT_00539,13.0,6.7,79.0,45.9,Average
INT_00540,8.3,6.0,82.1,,Struggle
INT_00541,12.5,7.9,81.1,53.4,Average
INT_00542,6.6,3.5,82.2,37.8,Struggle
INT_00543,11.6,4.9,85.4,33.4,Struggle
INT_00544,14.3,7.2,85.9,39.4,Struggle
INT_00545,,7.6,82.8,74.7,Average
INT_00546,7.6,6.9,81.9,69.8,Average
INT_00547,11.7,5.1,86.2,36.5,Struggle
INT_00548,9.4,6.3,89.3,62.0,Average
INT_00549,11.1,8.1,85.5,55.9,Average
INT_00550,8.2,8.4,97.3,76.0,Excel
INT_00551,10.3,7.5,,65.6,Average
INT_00552,9.5,9.2,75.3,65.7,Average
INT_00553,13.5,8.1,,57.3,Average
INT_00554,10.8,6.4,92.8,57.1,Average
INT_00555,11.0,7.1,84.5,63.3,Average
INT_00556,8.8,5.4,,42.7,Struggle
INT_00557,8.5,7.3,88.1,58.8,Average
INT_00558,8.7,9.2,87.9,73.0,Average
INT_00559,11.2,8.5,79.0,73.5,Average
INT_00560,8.7,9.6,76.4,71.3,Average
INT_00561,10.9,7.0,87.3,51.1,Average
INT_00562,16.2,,86.1,,Average
INT_00563,12.6,7.2,84.7,40.2,Struggle
