Campaign_ID,Page_Views,Session Duration,Bounce Rate,Traffic Source,Time on Page,Previous Visits,Conversion Rate,Company,Campaign_Type,Target_Audience,Duration,channels,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,,Date,profit margin
25,8,6.141313178,0.09314584,Social,5.083885619,2,1,NexGen Systems,Social Media,Men 18-24,60 days,YouTube,0.07,"$8,773.00",6.03,Miami,Mandarin,527,1733,1,Fashionistas,25/01/2021,Profit
26,3,0.012407085,0.118828262,Referral,1.336264957,3,1,NexGen Systems,Search,Women 25-34,45 days,Instagram,0.04,"$14,756.00",6.23,Houston,English,809,8236,10,Health & Wellness,26/01/2021,Profit
27,3,0.063746928,0.056094122,Social,7.05303439,1,1,Alpha Innovations,Email,Women 25-34,45 days,Facebook,0.09,"$9,182.00",6.03,Houston,English,953,6916,5,Fashionistas,27/01/2021,Profit
28,5,1.881355422,0.013264164,Direct,2.107742851,2,1,TechCorp,Email,Men 25-34,30 days,YouTube,0.07,"$6,601.00",3.29,New York,Spanish,604,2420,3,Foodies,28/01/2021,Loss
29,8,0.818241206,0.158098155,Referral,15.0222197,3,1,TechCorp,Influencer,Men 18-24,60 days,Email,0.09,"$11,552.00",7.12,Chicago,Spanish,384,7620,7,Tech Enthusiasts,29/01/2021,Profit
30,3,3.512013371,0.135033107,Social,1.552828446,0,0.963079669,TechCorp,Social Media,Women 25-34,30 days,Email,0.09,"$11,608.00",3.61,Los Angeles,Spanish,952,4055,1,Tech Enthusiasts,30/01/2021,Loss
31,2,2.501122171,0.12373095,Organic,3.296032106,2,1,Innovate Industries,Search,Men 25-34,45 days,Instagram,0.07,"$13,124.00",2.77,Houston,Mandarin,512,4837,4,Tech Enthusiasts,31/01/2021,Loss
32,5,0.241957522,0.444408206,Referral,2.638993032,2,0.868593275,NexGen Systems,Influencer,All Ages,45 days,YouTube,0.07,"$13,245.00",6.83,New York,English,309,2885,7,Foodies,01/02/2021,Profit
33,3,0.53246165,0.250903219,Social,0.966023815,2,1,NexGen Systems,Display,Women 35-44,45 days,Email,0.06,"$5,796.00",4.42,New York,Spanish,367,3218,9,Foodies,02/02/2021,Loss
34,8,1.473310519,0.213485799,Organic,9.004402387,1,1,Alpha Innovations,Influencer,Women 25-34,45 days,Google Ads,0.14,"$15,082.00",2.71,Los Angeles,German,243,5724,4,Health & Wellness,03/02/2021,Loss
35,10,0.61592587,0.075536222,Referral,1.951268458,1,0.972276632,NexGen Systems,Influencer,Men 18-24,30 days,YouTube,0.07,"$18,332.00",7.81,Houston,Spanish,360,5349,6,Fashionistas,04/02/2021,Profit
36,3,4.713860245,0.68193012,Social,3.869525945,4,1,TechCorp,Display,Men 25-34,60 days,Instagram,0.09,"$13,256.00",2.51,Miami,German,250,7373,3,Health & Wellness,05/02/2021,Loss
37,2,1.613923709,0.368471727,Social,1.687480629,1,0.892856006,DataTech Solutions,Display,All Ages,45 days,Email,0.04,"$15,779.00",7.24,New York,Spanish,822,7152,1,Foodies,06/02/2021,Profit
38,5,0.294267273,0.148310175,Organic,7.17173107,2,1,Innovate Industries,Influencer,Men 18-24,60 days,Facebook,0.06,"$7,683.00",2.62,Houston,French,833,9772,8,Tech Enthusiasts,07/02/2021,Loss
39,7,1.986939821,0.230326717,Referral,2.992466163,0,1,Innovate Industries,Search,Men 25-34,30 days,Instagram,0.11,"$14,742.00",2.21,Chicago,Spanish,663,9473,10,Tech Enthusiasts,08/02/2021,Loss
40,6,0.285696546,0.480492545,Organic,4.219468464,1,1,Innovate Industries,Search,Men 18-24,45 days,Google Ads,0.08,"$15,495.00",6.97,Chicago,German,268,5495,6,Fashionistas,09/02/2021,Profit
41,6,0.414123974,0.266410874,Referral,3.279772549,1,0.984004061,DataTech Solutions,Social Media,All Ages,30 days,Website,0.04,"$18,684.00",4.57,New York,French,212,4718,4,Foodies,10/02/2021,Loss
42,2,0.821770796,0.125454362,Paid,4.612913658,1,1,Alpha Innovations,Search,Men 25-34,45 days,Email,0.01,"$13,096.00",3.44,Los Angeles,French,360,2776,1,Foodies,11/02/2021,Loss
43,4,5.888235,0.293249096,Paid,8.652438902,0,1,Innovate Industries,Display,Men 25-34,60 days,Instagram,0.09,"$7,818.00",5.6,Houston,French,598,8637,5,Fashionistas,12/02/2021,Profit
44,9,7.755342687,0.460873286,Paid,3.300934784,1,1,Innovate Industries,Display,All Ages,30 days,Instagram,0.09,"$8,214.00",4.77,Chicago,English,988,1612,5,Fashionistas,13/02/2021,Loss
45,7,5.250546843,0.288505451,Organic,5.276812813,2,1,DataTech Solutions,Email,Men 18-24,45 days,Google Ads,0.04,"$6,882.00",3.31,Miami,English,282,8038,7,Tech Enthusiasts,14/02/2021,Loss
46,11,1.219744672,0.613241098,Organic,3.061934986,0,1,NexGen Systems,Display,Women 35-44,60 days,Google Ads,0.03,"$13,470.00",6.8,Miami,English,992,8036,8,Health & Wellness,15/02/2021,Profit
47,8,0.954202987,0.401329736,Organic,1.425644129,1,0.962493642,DataTech Solutions,Search,Men 25-34,60 days,YouTube,0.06,"$14,948.00",7.4,New York,French,903,3940,3,Foodies,16/02/2021,Profit
48,3,2.389899634,0.189480814,Referral,4.23789787,2,1,Innovate Industries,Social Media,Men 18-24,60 days,Instagram,0.04,"$15,255.00",3.8,Chicago,French,629,1824,3,Health & Wellness,17/02/2021,Loss
49,2,3.838818316,0.189265462,Social,1.593548073,2,1,TechCorp,Display,All Ages,60 days,Facebook,0.1,"$9,510.00",5.25,Houston,French,190,2071,4,Tech Enthusiasts,18/02/2021,Profit
50,3,15.0497133,0.030525144,Organic,2.873870683,1,1,TechCorp,Social Media,Women 25-34,45 days,Email,0.11,"$7,521.00",3.98,Los Angeles,German,150,7377,8,Tech Enthusiasts,19/02/2021,Loss
51,4,0.423207345,0.84493938,Organic,0.727810446,4,0.749203659,NexGen Systems,Search,Men 25-34,60 days,Facebook,0.12,"$10,405.00",5.79,Los Angeles,French,134,8463,9,Foodies,20/02/2021,Profit
52,5,0.151644923,0.189229164,Paid,3.97019724,2,1,NexGen Systems,Search,Men 25-34,15 days,Website,0.1,"$15,955.00",6.48,Houston,French,657,9831,7,Foodies,21/02/2021,Profit
53,5,3.556001669,0.160529651,Referral,3.154549987,4,1,TechCorp,Email,Men 18-24,30 days,Facebook,0.13,"$15,428.00",7.62,Houston,French,385,4937,6,Tech Enthusiasts,22/02/2021,Profit
54,4,5.355408459,0.386124735,Organic,3.834073321,1,1,NexGen Systems,Display,Women 35-44,45 days,YouTube,0.02,"$19,832.00",3.35,New York,English,537,4739,9,Outdoor Adventurers,23/02/2021,Loss
55,3,5.619210148,0.358929582,Organic,3.910938078,2,1,NexGen Systems,Social Media,Men 18-24,30 days,YouTube,0.05,"$17,375.00",6.15,Miami,Spanish,450,6012,7,Foodies,24/02/2021,Profit
56,8,3.403933092,0.048201669,Organic,4.879187494,4,1,NexGen Systems,Display,Men 25-34,15 days,Website,0.13,"$8,903.00",3.7,Miami,English,178,8529,9,Health & Wellness,25/02/2021,Loss
57,2,9.238372528,0.526355517,Organic,5.415281971,2,1,NexGen Systems,Email,Women 35-44,15 days,Website,0.04,"$14,511.00",6.66,Chicago,English,164,2122,8,Foodies,26/02/2021,Profit
58,1,2.146207593,0.159205739,Organic,14.33851631,5,1,Innovate Industries,Email,Men 18-24,60 days,Email,0.06,"$17,305.00",2.7,New York,French,569,1850,2,Fashionistas,27/02/2021,Loss
59,4,7.353770371,0.222896704,Organic,9.84027064,2,1,Alpha Innovations,Email,Women 25-34,45 days,Email,0.04,"$18,063.00",4.93,Chicago,English,330,6920,6,Foodies,28/02/2021,Loss
60,5,10.30849747,0.64639033,Referral,5.316899879,1,1,Innovate Industries,Display,Men 25-34,15 days,Email,0.05,"$10,293.00",6.8,Miami,French,256,3421,9,Health & Wellness,01/03/2021,Profit
61,4,5.635041055,0.054179402,Referral,2.769737315,1,1,DataTech Solutions,Email,Men 25-34,45 days,Email,0.05,"$8,785.00",2.27,New York,German,849,9217,5,Fashionistas,02/03/2021,Loss
62,3,1.112141503,0.293753959,Organic,2.814258945,1,1,TechCorp,Email,Men 25-34,30 days,Email,0.09,"$13,848.00",5.32,Los Angeles,French,261,1958,2,Tech Enthusiasts,03/03/2021,Profit
63,4,0.655272806,0.268241018,Referral,0.370603051,2,0.907349292,Innovate Industries,Influencer,Women 35-44,60 days,Email,0.01,"$14,435.00",7.04,Houston,Mandarin,592,3596,4,Foodies,04/03/2021,Profit
64,8,2.383016295,0.083114277,Paid,1.586549521,1,0.625293991,NexGen Systems,Search,Men 18-24,30 days,Facebook,0.02,"$14,001.00",3.71,Chicago,English,201,8702,10,Outdoor Adventurers,05/03/2021,Loss
65,2,1.810000329,0.158092854,Direct,3.079790782,2,1,DataTech Solutions,Display,All Ages,45 days,Website,0.11,"$8,841.00",7.43,Houston,French,648,9122,9,Fashionistas,06/03/2021,Profit
66,2,6.305266175,0.24901885,Organic,4.219020148,4,1,NexGen Systems,Search,All Ages,60 days,YouTube,0.04,"$11,366.00",7.28,Los Angeles,Mandarin,187,5048,8,Health & Wellness,07/03/2021,Profit
67,2,0.316187119,0.234216542,Referral,18.23996376,2,1,Alpha Innovations,Display,Women 25-34,30 days,YouTube,0.07,"$12,910.00",6.33,Miami,Spanish,839,5569,7,Foodies,08/03/2021,Profit
68,7,0.894167326,0.220051016,Referral,4.770245176,5,1,TechCorp,Search,Women 25-34,60 days,YouTube,0.12,"$7,823.00",2.72,New York,Mandarin,240,2512,6,Tech Enthusiasts,09/03/2021,Loss
69,6,4.180548461,0.10362923,Organic,5.464398173,3,1,TechCorp,Display,All Ages,15 days,Facebook,0.03,"$11,864.00",7.98,Chicago,French,932,9973,9,Tech Enthusiasts,10/03/2021,Profit
70,7,0.299416735,0.496233396,Direct,1.380698487,4,1,Innovate Industries,Email,All Ages,15 days,Facebook,0.1,"$17,414.00",4.74,Los Angeles,German,694,2836,2,Foodies,11/03/2021,Loss
71,6,1.160361754,0.539858292,Paid,2.253880627,1,1,Alpha Innovations,Search,Men 25-34,30 days,Website,0.13,"$18,201.00",5.58,New York,German,202,6745,8,Tech Enthusiasts,12/03/2021,Profit
72,7,1.468931618,0.115187943,Referral,3.09611905,1,1,Alpha Innovations,Social Media,All Ages,15 days,Email,0.03,"$9,549.00",5.61,Chicago,French,416,9187,7,Health & Wellness,13/03/2021,Profit
73,6,2.923299627,0.171382316,Organic,0.989993628,2,1,TechCorp,Social Media,Women 35-44,15 days,YouTube,0.13,"$16,635.00",7.46,Miami,English,576,9999,10,Health & Wellness,14/03/2021,Profit
74,4,0.516398441,0.190188388,Organic,4.681621703,1,1,NexGen Systems,Influencer,All Ages,45 days,Facebook,0.1,"$9,310.00",5.63,New York,German,300,3687,9,Foodies,15/03/2021,Profit
75,2,5.911319979,0.323885389,Paid,1.962131629,3,1,NexGen Systems,Display,All Ages,15 days,YouTube,0.11,"$5,158.00",6.67,Chicago,German,776,4238,3,Health & Wellness,16/03/2021,Profit
76,3,1.780134878,0.273503888,Organic,1.22331653,2,1,Innovate Industries,Search,Men 25-34,30 days,Instagram,0.04,"$15,182.00",2.03,Houston,English,492,7364,2,Fashionistas,17/03/2021,Loss
77,4,7.467528883,0.509321749,Paid,6.36347233,0,1,Innovate Industries,Display,Men 18-24,45 days,Google Ads,0.08,"$5,703.00",3.23,Chicago,German,763,8501,10,Foodies,18/03/2021,Loss
78,7,1.892601889,0.139796164,Organic,3.103389527,0,1,Innovate Industries,Search,Women 35-44,60 days,Google Ads,0.02,"$12,008.00",4.82,Miami,Spanish,817,7892,2,Health & Wellness,19/03/2021,Loss
79,4,0.964917466,0.485452184,Referral,4.377897111,0,1,NexGen Systems,Display,Women 35-44,45 days,Google Ads,0.13,"$15,850.00",7.74,New York,Spanish,791,3594,4,Outdoor Adventurers,20/03/2021,Profit
80,3,0.458855097,0.369618687,Paid,1.24304707,2,0.796755742,Alpha Innovations,Influencer,Women 25-34,30 days,Email,0.1,"$9,813.00",6.57,Miami,French,737,9941,6,Fashionistas,21/03/2021,Profit
81,2,0.011256375,0.183126678,Organic,5.900334031,2,1,Innovate Industries,Influencer,Women 35-44,60 days,Google Ads,0.14,"$19,300.00",7.62,Miami,Mandarin,159,3643,1,Outdoor Adventurers,22/03/2021,Profit
82,6,2.278870638,0.475960716,Referral,5.027113599,1,1,NexGen Systems,Social Media,Women 25-34,45 days,YouTube,0.12,"$17,772.00",6.33,New York,English,913,1921,5,Foodies,23/03/2021,Profit
83,3,0.340032558,0.314158679,Paid,3.71491664,3,1,Innovate Industries,Influencer,Women 25-34,60 days,Facebook,0.1,"$17,293.00",3.74,Houston,Spanish,238,8969,6,Outdoor Adventurers,24/03/2021,Loss
84,5,1.49139822,0.12497132,Organic,5.792328942,1,1,NexGen Systems,Search,All Ages,60 days,YouTube,0.08,"$8,398.00",3.99,Miami,English,134,3108,1,Health & Wellness,25/03/2021,Loss
85,9,2.669470508,0.397080094,Organic,2.260658974,2,0.86876104,Alpha Innovations,Influencer,Women 35-44,60 days,Email,0.15,"$15,866.00",2.3,Houston,French,159,2139,10,Health & Wellness,26/03/2021,Loss
86,6,0.96759041,0.232242852,Organic,2.650401069,1,1,TechCorp,Social Media,All Ages,30 days,YouTube,0.13,"$7,515.00",7.38,Houston,Mandarin,635,8489,3,Foodies,27/03/2021,Profit
87,6,0.577931397,0.645710669,Organic,2.572884453,2,1,DataTech Solutions,Email,Women 25-34,15 days,YouTube,0.15,"$19,026.00",2.22,Miami,Mandarin,187,2573,10,Fashionistas,28/03/2021,Loss
88,9,4.471255226,0.147181221,Direct,0.79193609,2,1,TechCorp,Search,Men 18-24,60 days,Facebook,0.14,"$8,280.00",7.89,New York,German,537,3042,1,Outdoor Adventurers,29/03/2021,Profit
89,4,8.800592886,0.289880142,Paid,2.99751001,1,1,Alpha Innovations,Display,Women 25-34,30 days,Google Ads,0.1,"$18,251.00",4.41,New York,Spanish,597,8117,6,Tech Enthusiasts,30/03/2021,Loss
90,9,0.317549966,0.167140253,Organic,3.493775652,2,1,DataTech Solutions,Display,All Ages,15 days,Instagram,0.07,"$13,108.00",2.01,Houston,German,550,3839,7,Tech Enthusiasts,31/03/2021,Loss
91,2,0.507352514,0.235484023,Organic,2.134253607,0,1,NexGen Systems,Influencer,Women 35-44,15 days,YouTube,0.09,"$15,477.00",6.98,Houston,English,956,9087,3,Foodies,01/04/2021,Profit
92,10,9.657576919,0.051086871,Organic,3.107007652,3,1,TechCorp,Email,Men 25-34,45 days,Email,0.09,"$17,705.00",7,New York,Spanish,628,9545,4,Outdoor Adventurers,02/04/2021,Profit
93,6,0.115549655,0.110023884,Paid,3.276242705,1,1,Innovate Industries,Display,Women 35-44,15 days,Instagram,0.05,"$18,470.00",2.57,Chicago,English,938,7879,10,Fashionistas,03/04/2021,Loss
94,9,11.40041688,0.066918596,Organic,5.553548993,3,1,NexGen Systems,Display,Men 25-34,45 days,Instagram,0.01,"$14,438.00",7.19,New York,French,147,6497,10,Health & Wellness,04/04/2021,Profit
95,4,0.013965907,0.313361357,Paid,5.755733748,4,1,NexGen Systems,Search,Men 18-24,45 days,Facebook,0.08,"$6,278.00",4.93,Miami,German,776,4289,8,Foodies,05/04/2021,Loss
96,1,6.20654132,0.256338124,Organic,9.081799797,1,1,TechCorp,Social Media,All Ages,15 days,Email,0.08,"$5,185.00",4.61,New York,French,108,9532,1,Tech Enthusiasts,06/04/2021,Loss
97,6,1.10158388,0.306808599,Social,2.270526196,5,1,Innovate Industries,Email,Women 25-34,15 days,Instagram,0.14,"$18,799.00",3.69,Miami,French,395,6079,8,Health & Wellness,07/04/2021,Loss
98,8,8.370491992,0.296407906,Organic,7.478524876,0,1,Alpha Innovations,Search,All Ages,60 days,Facebook,0.04,"$7,365.00",7.96,New York,French,419,4484,1,Fashionistas,08/04/2021,Profit
99,6,1.143540954,0.38157368,Paid,6.619431042,3,1,Alpha Innovations,Search,All Ages,60 days,Instagram,0.02,"$6,565.00",3.12,New York,French,463,6061,8,Foodies,09/04/2021,Loss
100,2,3.186606655,0.068599468,Referral,1.121857386,3,1,TechCorp,Display,All Ages,60 days,Facebook,0.09,"$9,022.00",5.58,Miami,Spanish,521,2572,4,Tech Enthusiasts,10/04/2021,Profit
101,3,0.250251034,0.045909719,Paid,6.971477092,2,1,NexGen Systems,Search,Men 25-34,45 days,YouTube,0.07,"$18,735.00",4.86,Los Angeles,Spanish,706,8715,6,Foodies,11/04/2021,Loss
102,5,0.832521286,0.283186624,Social,1.12639772,1,0.874484327,TechCorp,Search,Men 18-24,45 days,YouTube,0.09,"$9,941.00",4.54,Chicago,English,207,8334,4,Tech Enthusiasts,12/04/2021,Loss
103,3,4.457407393,0.131191735,Referral,3.790101093,0,1,DataTech Solutions,Influencer,Men 18-24,60 days,Website,0.08,"$10,113.00",6.87,Houston,English,583,1005,3,Health & Wellness,13/04/2021,Profit
104,3,2.25669129,0.172712712,Paid,7.826826067,5,1,DataTech Solutions,Social Media,Men 18-24,15 days,Facebook,0.1,"$8,310.00",7.17,Chicago,Spanish,864,6841,3,Tech Enthusiasts,14/04/2021,Profit
105,5,7.891978665,0.399818151,Paid,0.424393942,0,1,DataTech Solutions,Influencer,Men 18-24,30 days,Google Ads,0.06,"$15,073.00",2.17,Los Angeles,English,387,8035,2,Health & Wellness,15/04/2021,Loss
106,6,1.679792406,0.227532183,Direct,5.162229295,0,1,Innovate Industries,Social Media,Women 25-34,30 days,Email,0.09,"$7,541.00",3.35,Chicago,Spanish,560,3439,7,Fashionistas,16/04/2021,Loss
107,5,6.116335588,0.390992354,Referral,1.248632588,1,1,TechCorp,Influencer,Men 25-34,45 days,Google Ads,0.11,"$14,875.00",6.5,New York,German,306,1560,3,Health & Wellness,17/04/2021,Profit
108,3,1.787818792,0.504288172,Direct,9.227409199,2,1,TechCorp,Email,All Ages,45 days,Email,0.06,"$5,514.00",7.32,Miami,German,740,4550,1,Outdoor Adventurers,18/04/2021,Profit
109,5,11.62537824,0.285231584,Organic,6.473043948,1,1,Innovate Industries,Search,Men 25-34,30 days,Instagram,0.05,"$15,107.00",4.79,Houston,Spanish,115,1475,10,Fashionistas,19/04/2021,Loss
110,3,9.644231724,0.57390877,Paid,0.914021059,5,1,Innovate Industries,Social Media,Women 25-34,15 days,YouTube,0.1,"$13,712.00",6.4,Chicago,English,366,3843,3,Fashionistas,20/04/2021,Profit
111,3,1.19756969,0.161777892,Direct,2.398132927,1,0.908835703,Alpha Innovations,Influencer,All Ages,60 days,Facebook,0.05,"$11,789.00",5.39,Houston,German,659,3670,9,Outdoor Adventurers,21/04/2021,Profit
112,6,6.512662491,0.135113555,Organic,8.233772652,2,1,DataTech Solutions,Email,All Ages,30 days,Website,0.13,"$18,335.00",7.58,Los Angeles,Mandarin,552,3464,5,Health & Wellness,22/04/2021,Profit
113,5,5.643963817,0.236755004,Direct,4.468721982,3,1,TechCorp,Display,Women 35-44,30 days,Google Ads,0.02,"$19,035.00",2.01,Miami,Mandarin,560,6945,7,Health & Wellness,23/04/2021,Loss
114,6,0.709751901,0.164526488,Organic,5.685964729,1,1,DataTech Solutions,Email,Women 25-34,15 days,YouTube,0.11,"$17,655.00",4.04,Los Angeles,English,369,8912,4,Health & Wellness,24/04/2021,Loss
115,2,2.93681633,0.253042795,Direct,2.644228966,1,1,NexGen Systems,Email,Women 25-34,45 days,Google Ads,0.11,"$6,710.00",2.72,Houston,German,886,6158,7,Fashionistas,25/04/2021,Loss
116,4,0.226377211,0.545753359,Paid,6.688997323,1,1,NexGen Systems,Social Media,Women 25-34,15 days,Facebook,0.09,"$9,899.00",3.7,Los Angeles,German,447,4878,8,Tech Enthusiasts,26/04/2021,Loss
117,7,5.436695792,0.103671196,Organic,10.67944941,2,1,Innovate Industries,Email,All Ages,30 days,Instagram,0.14,"$7,032.00",7.86,Chicago,Spanish,595,1555,4,Health & Wellness,27/04/2021,Profit
118,6,0.5754648,0.2566508,Social,1.421380169,1,1,TechCorp,Social Media,All Ages,45 days,Website,0.05,"$5,174.00",4.98,Houston,German,438,9741,1,Tech Enthusiasts,28/04/2021,Loss
119,5,0.220341299,0.449471114,Organic,2.521880288,2,1,Innovate Industries,Display,Women 35-44,15 days,YouTube,0.14,"$15,679.00",3.71,Los Angeles,German,652,3884,7,Foodies,29/04/2021,Loss
120,4,1.533572549,0.317173009,Organic,4.47407384,2,1,NexGen Systems,Display,All Ages,45 days,YouTube,0.07,"$12,143.00",7.65,Miami,Mandarin,802,8897,10,Tech Enthusiasts,30/04/2021,Profit
121,3,2.580597142,0.187622049,Organic,3.058990148,4,1,Innovate Industries,Email,Women 35-44,45 days,Facebook,0.02,"$19,329.00",7.58,Houston,English,841,4536,8,Outdoor Adventurers,01/05/2021,Profit
122,3,5.791347003,0.194111552,Referral,4.398518979,1,1,Innovate Industries,Search,All Ages,60 days,Email,0.09,"$8,854.00",6.78,Chicago,German,137,4002,6,Tech Enthusiasts,02/05/2021,Profit
123,7,10.97709127,0.443827605,Direct,5.067110645,3,1,Alpha Innovations,Influencer,Women 35-44,45 days,YouTube,0.04,"$5,232.00",7.61,New York,German,850,6515,5,Foodies,03/05/2021,Profit
124,7,1.736738034,0.199953158,Organic,3.072196814,3,1,NexGen Systems,Display,Men 25-34,30 days,Instagram,0.02,"$13,006.00",3.7,Chicago,Spanish,727,2863,1,Fashionistas,04/05/2021,Loss
125,6,0.1870529,0.219078217,Paid,2.179539054,3,1,DataTech Solutions,Email,Men 18-24,45 days,Website,0.13,"$5,653.00",6.08,Chicago,Mandarin,986,4477,10,Foodies,05/05/2021,Profit
126,6,4.14828876,0.270952874,Organic,3.784863276,3,1,DataTech Solutions,Email,Men 25-34,45 days,Google Ads,0.02,"$18,169.00",5.5,Miami,English,259,3941,7,Outdoor Adventurers,06/05/2021,Profit
127,7,2.498422852,0.304309187,Referral,1.0710392,0,1,DataTech Solutions,Social Media,Men 25-34,45 days,Email,0.08,"$13,316.00",6.15,Los Angeles,Spanish,321,7186,2,Fashionistas,07/05/2021,Profit
128,8,1.782031239,0.055213692,Organic,1.987983514,0,1,NexGen Systems,Email,All Ages,15 days,Email,0.08,"$17,847.00",6.68,Houston,Spanish,942,9066,3,Outdoor Adventurers,08/05/2021,Profit
